text,emotion
I feel so happy today,happy
Today is an amazing day,happy
I am smiling all day,happy
Everything feels wonderful,happy
I feel great and joyful,happy

I feel very sad today,sad
I am feeling lonely,sad
Today is a bad day,sad
I feel heartbroken,sad
Nothing feels right today,sad

I feel calm and peaceful,relaxed
I just want to chill today,relaxed
Listening to soft music makes me relaxed,relaxed
I feel very relaxed right now,relaxed
Today feels peaceful,relaxed

I am so excited for tomorrow,excited
This is thrilling and fun,excited
I can't wait for the event,excited
I feel super excited today,excited
This is going to be amazing,excited

I miss someone special,romantic
I am thinking about my love,romantic
I feel so much love in my heart,romantic
You are very special to me,romantic
Love makes life beautiful,romantic

I am ready to achieve my goals,motivated
I feel very inspired today,motivated
I want to work hard and succeed,motivated
Nothing can stop me today,motivated
I will achieve my dreams,motivated
